country_code;year;gear_type;metier;mismatch;;Count of mismatch;Column Labels;;;;;;;;;;;
DNK;2013;OTM;OTB_DEF_<16_0_0;#VALUE!;;;;;;;;;;;;;;
HRV;2015;NK;GNS_DEF_>0_0_0;#VALUE!;;;;;;;;;;;;;;
ESP;2015;LLS;GNS_DEF_50-59_0_0;#VALUE!;;;;;;;;;;;;;;
DNK;2015;LHP;GNS_CRU_120-219_0_0;#VALUE!;;;;;;;;;;;;;;
PRT;2014;FPO;NK;#VALUE!;;;;;;;;;;;;;;
DNK;2014;GTR;GNS_SPF_32-89_0_0;#VALUE!;;;;;;;;;;;;;;
ESP;2014;FPO;TBB_MOL_55-64_0_0;#VALUE!;;;;;;;;;;;;;;
ESP;2019;LTL;PS_SPF_10-31_0_0;#VALUE!;;;;;;;;;;;;;;
PRT;2019;LLS;NK;#VALUE!;;;;;;;;;;;;;;
FIN;2018;GNS;MIS_MIS_0_0_0;#VALUE!;;;;;;;;;;;;;;
IOM;2020;FPO;NK;#VALUE!;;;;;;;;;;;;;;
IRL;2021;OTM;PTM_SPF_16-31_0_0;#VALUE!;;;;;;;;;;;;;;
ESP;2018;GND;FPO_MOL_>0_0_0;#VALUE!;;;;;;;;;;;;;;
ESP;2013;LHP;GTR_DEF_60-69_0_0;#VALUE!;;;;;;;;;;;;;;
DNK;2015;GTR;FPN_DEF_>0_0_0;#VALUE!;;;;;;;;;;;;;;
PRT;2021;GNS;GTR_MOL_>0_0_0;#VALUE!;;;;;;;;;;;;;;
DNK;2021;PTM;OTM_SPF_32-69_0_0;#VALUE!;;;;;;;;;;;;;;
ESP;2019;GNC;PS_SPF_10-31_0_0;#VALUE!;;;;;;;;;;;;;;
ESP;2022;LLS;LLD_LPF_0_0_0;#VALUE!;;;;;;;;;;;;;;
PRT;2016;GNS;LLS_DEF_0_0_0;#VALUE!;;;;;;;;;;;;;;
SCO;2020;OTT;NK;#VALUE!;;;;;;;;;;;;;;
DNK;2016;PTB;OTB_MCD_90-99_1_270;#VALUE!;;;;;;;;;;;;;;
ESP;2017;PS;OTB_MCD_55-64_0_0;#VALUE!;;;;;;;;;;;;;;
